id,name,department,location,manager,start_date,planned_completion,approved_budget,released_funds,expenditure,physical_progress,financial_progress,expected_progress,milestones_total,milestones_delayed,resource_availability,contractor_performance,material_availability,previous_delays,status,contractor_id,contractor_name,description,doom_probability_pct,doom_level,health_score
1,National Highway Expansion Corridor,Infrastructure,Assam,Er. Rajesh Baruah,2025-01-10,2026-11-20,85000000.0,70000000.0,52000000.0,62.0,61.0,65.0,6,0,80.0,82.0,85.0,0,ON_TRACK,1,Larsen & Mega Infrastructure Ltd,4-lane highway expansion connecting key industrial nodes across Assam.,5.2,STABLE_HEALTHY,88
2,Rural Water Supply Network,Rural Development,Meghalaya,Er. Phira Marwein,2024-11-15,2026-06-30,42000000.0,39000000.0,36000000.0,58.0,86.0,74.0,5,2,58.0,60.0,62.0,1,AT_RISK,3,Brahmaputra Engineering Works,Piped water distribution covering 120 rural habitations under Jal Jeevan Mission.,42.5,HIGH_DISTRESS,62
3,Digital Governance & Citizen Portal,Digital Governance,Tripura,Er. Sourav Debbarma,2025-04-01,2026-12-15,25000000.0,20000000.0,11000000.0,45.0,44.0,48.0,4,0,90.0,88.0,92.0,0,ON_TRACK,4,Eastern Regional Infra Solutions,State-wide centralized public service delivery and grievance redressal platform.,4.8,STABLE_HEALTHY,92
4,Urban Development & Drainage Mission,Urban Development,Mizoram,Er. Lalremruata,2024-09-01,2026-04-15,65000000.0,60000000.0,57000000.0,61.0,88.0,85.0,6,2,52.0,58.0,55.0,1,DELAYED,5,Pinnacle Urban Civil Contractors,"Stormwater drainage, sewage trunk lines, and road widening across municipal wards.",52.0,HIGH_DISTRESS,55
5,Power Transmission Grid Expansion,Energy,Nagaland,Er. Vikato Sema,2024-12-01,2026-08-30,110000000.0,90000000.0,85000000.0,49.0,77.0,70.0,5,2,64.0,66.0,58.0,1,DELAYED,7,Vanguard Power & Utility Infra,High-voltage 132kV transmission corridors connecting eastern mountain clusters.,48.2,HIGH_DISTRESS,58
6,Border Area Road Connectivity,Infrastructure,Arunachal Pradesh,Er. Tashi Wangdi,2025-02-15,2027-03-31,140000000.0,100000000.0,77000000.0,38.0,55.0,44.0,7,1,72.0,75.0,70.0,0,AT_RISK,2,National Bridge & Tunnel Engineering Corp,Strategic border connectivity road passing through high-altitude tunnels and bridges.,34.0,MODERATE_STRAIN,68
7,District Hospital Upgradation,Healthcare,Manipur,Dr. I. Tomba Singh,2024-10-01,2026-05-30,50000000.0,45000000.0,34000000.0,70.0,68.0,72.0,5,0,85.0,88.0,84.0,0,ON_TRACK,1,Larsen & Mega Infrastructure Ltd,"Upgrading district civil hospital with 200 ICU beds, diagnostic labs, and oxygen plant.",6.5,STABLE_HEALTHY,90
8,Rail Infrastructure Modernization - Demo,Railways,Assam,Er. Sanjeev Roy,2024-08-01,2026-03-31,520000000.0,500000000.0,468000000.0,43.0,90.0,88.0,7,4,32.0,35.0,38.0,3,CRITICAL,8,Apex Shell Engineering Consortium,"Double-tracking, signalling overhaul, and grade separation across critical regional rail trunk lines.",82.0,CRITICAL_DOOM,18
9,Flood Management & River Embankment,Water Resources,Assam,Er. Bhupen Hazarika,2024-06-01,2026-02-28,35000000.0,32000000.0,27500000.0,82.0,79.0,80.0,4,0,92.0,90.0,94.0,0,ON_TRACK,3,Brahmaputra Engineering Works,Geo-textile reinforced embankment and sluice gate control structures along vulnerable Brahmaputra stretches.,3.8,STABLE_HEALTHY,94
10,Smart City Connectivity & OFC Backbone,Telecom,Sikkim,Er. Pemba Tshering,2024-07-15,2026-01-31,48000000.0,44000000.0,37400000.0,35.0,78.0,82.0,5,3,40.0,42.0,45.0,2,CRITICAL,9,Shadow Ridge Mega Projects Pvt Ltd,Underground optical fibre backbone network connecting urban local bodies and rural administrative blocks.,76.4,CRITICAL_DOOM,26
